	Temperature(°C)	1	2	3	4	5	6	7	8	9	10	11	12
		538.578	5.408	1045.713	430.836	310.907	-763.743	1700.751	1054.299	1479.174	-972.303	981.179	-110.09
		1859.733	117.027	-134.74	350.791	-31.43	86.283	525.006	1543.155	147.771	841.308	-110.921	-194.566
		-128.647	-24.228	-21.736	-150.804	57.478	2189.606	182.392	404.524	-1025.758	-1237.641	-710.564	1129.359
		-627.473	-319.203	-1798.509	-488.433	-190.134	610.037	377.104	239.172	692.02	-892.258	391.506	231.14
		782.867	338.604	-113.967	260.222	-426.114	227.539	1528.475	351.899	445.239	-738.538	850.171	-1873.569
													
3:20	37	231.97	1062.055	616.13	454.933	-503.39	-35.861	-178.779	2169.387	-360.749	1327.117	655.737	-100.396
		1455.077	-822.184	2048.905	1414.64	1075.903	946.003	1036.85	1237.655	1565.589	-1365.048	595.634	-333.052
		164.112	89.607	-545.489	2104.853	402.031	158.019	-982.273	-1119.375	525.56	914.429	-205.922	238.064
		880.361	621.393	1582.207	-375.429	1547.863	2944.631	746.861	-150.251	-256.608	-520.285	-1719.018	326.695
		865.405	-892.258	590.649	995.304	-460.182	1325.732	521.406	2032.01	-606.977	-2373.78	-628.027	932.432
		684.819	483.184	727.75	-208.692	-957.346	-1393.577	79.913	-54.695	113.98	-803.35	-806.12	619.454
		-510.868	960.683	-1180.031	250.528	-694.777	-601.16	176.853	-884.78	-69.375	1103.877	-821.076	-567.37
		-330.836	-980.335	-17.581	809.733	960.683	1047.098	427.512	1414.917	2699.511	-645.476	438.591	-80.454
													
3:40	37	24.519	1097.507	-537.734	-661.817	695.344	-235.558	-58.85	-1270.047	20.364	-1717.633	-226.972	-111.198
		-1263.954	-373.767	-770.944	-1841.163	674.294	-1350.369	-80.454	-273.503	-1056.502	-566.816	-1589.396	-1155.104
		-750.171	-176.84	-848.773	-269.902	-335.822	-1527.908	-1382.221	-583.434	-711.395	-1019.111	-390.939	-182.102
		271.3	-678.436	307.307	345.529	932.432	514.482	982.01	336.112	932.986	611.976	-233.619	-250.237
		1198.325	-257.716	1181.429	-556.845	-1332.92	1419.902	754.616	3.746	561.844	-2923.014	1526.813	-41.401
		-876.47	-1307.161	758.494	-681.205	-274.888	-602.822	-1383.606	-895.858	-591.189	231.693	-226.972	-1304.392
		-1314.917	193.471	347.468	770.68	1289.725	-829.108	-1310.208	751.015	-192.073	122.29	-482.894	1823.727
		-1008.309	-1242.627	-300.923	-135.017	484.569	-1330.981	136.415	-867.884	-31.707	-1641.743	-439.409	-503.112
